claim_status,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
claim,not verified,under review,343296.0,19425.0,241.0,1.0,0.0
claim,not verified,active,140877.0,77355.0,19034.0,1161.0,684.0
claim,not verified,active,902185.0,97690.0,2858.0,833.0,329.0
claim,not verified,active,437506.0,239954.0,34812.0,1234.0,584.0
claim,not verified,active,56167.0,34987.0,4110.0,547.0,152.0
claim,not verified,under review,336647.0,175546.0,62303.0,4293.0,1857.0
claim,not verified,active,750345.0,486192.0,193911.0,8616.0,5446.0
claim,not verified,active,547532.0,1072.0,50.0,22.0,11.0
claim,not verified,active,24819.0,10160.0,1050.0,53.0,27.0
claim,verified,active,931587.0,171051.0,67739.0,4104.0,2540.0
claim,not verified,active,695641.0,238030.0,23062.0,1719.0,378.0
claim,not verified,active,482046.0,168107.0,19474.0,3282.0,532.0
claim,not verified,active,700081.0,434565.0,97995.0,2408.0,1411.0
claim,not verified,under review,929685.0,497236.0,154917.0,1225.0,805.0
claim,not verified,active,937231.0,237318.0,81496.0,1867.0,960.0
claim,not verified,active,746186.0,193.0,29.0,2.0,0.0
claim,not verified,active,923007.0,67714.0,17710.0,845.0,536.0
claim,not verified,active,467702.0,40435.0,2804.0,495.0,327.0
claim,not verified,active,168594.0,105245.0,37929.0,1723.0,694.0
claim,not verified,active,249935.0,20437.0,2240.0,212.0,70.0
claim,not verified,active,550259.0,30528.0,6704.0,258.0,88.0
claim,not verified,active,510989.0,162612.0,26745.0,2507.0,1283.0
claim,not verified,banned,60096.0,34245.0,11345.0,219.0,77.0
claim,not verified,active,750942.0,136252.0,27119.0,2637.0,1206.0
claim,not verified,active,353722.0,39844.0,10399.0,181.0,54.0
claim,not verified,active,506061.0,288150.0,39351.0,2405.0,1134.0
claim,not verified,under review,50892.0,7976.0,2903.0,125.0,78.0
claim,not verified,under review,812056.0,329068.0,3515.0,5200.0,1108.0
claim,not verified,active,677855.0,332569.0,97961.0,5531.0,2386.0
claim,not verified,active,74323.0,20940.0,3678.0,274.0,63.0
claim,not verified,active,573518.0,324003.0,125931.0,4737.0,2918.0
claim,not verified,banned,376637.0,226700.0,69329.0,2060.0,278.0
claim,not verified,active,781955.0,407367.0,65029.0,4274.0,2240.0
claim,not verified,active,822795.0,390001.0,125607.0,4012.0,2055.0
claim,not verified,active,418750.0,133645.0,27821.0,2387.0,206.0
claim,not verified,active,535825.0,73157.0,1642.0,1573.0,97.0
claim,not verified,active,924262.0,465230.0,37874.0,8124.0,635.0
claim,not verified,active,489267.0,110476.0,17911.0,2585.0,90.0
claim,not verified,active,879368.0,572608.0,153090.0,5639.0,2542.0
claim,not verified,active,135682.0,50881.0,7713.0,944.0,324.0
claim,not verified,under review,289935.0,3484.0,1092.0,20.0,3.0
claim,not verified,active,903941.0,409234.0,32446.0,8390.0,1390.0
claim,not verified,active,704320.0,161850.0,19294.0,3077.0,566.0
claim,not verified,under review,609453.0,262718.0,80347.0,826.0,99.0
claim,not verified,active,790372.0,24067.0,4167.0,434.0,236.0
claim,not verified,under review,750369.0,271101.0,65378.0,1482.0,426.0
claim,not verified,under review,630556.0,67394.0,16130.0,1197.0,720.0
claim,not verified,active,853104.0,45589.0,16274.0,758.0,163.0
claim,not verified,active,636117.0,360722.0,12659.0,105.0,65.0
claim,not verified,active,658349.0,231224.0,89272.0,5131.0,1426.0
claim,not verified,active,472376.0,210080.0,37155.0,4600.0,2697.0
claim,not verified,active,984793.0,453657.0,15329.0,521.0,30.0
claim,not verified,active,301749.0,27047.0,1544.0,230.0,18.0
claim,not verified,active,971357.0,111164.0,13178.0,2338.0,779.0
claim,not verified,active,302525.0,23738.0,673.0,314.0,118.0
claim,not verified,active,578064.0,269616.0,66922.0,6075.0,3321.0
claim,not verified,active,205584.0,49255.0,5072.0,1186.0,223.0
claim,not verified,active,422117.0,112780.0,26052.0,1038.0,380.0
claim,not verified,active,265598.0,59672.0,4952.0,815.0,400.0
